Area,HUB,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
eltrapialcuramchedhuantraico,El Trapial,VMN,657.8029999999994,1.0,657.8029999999994,,eltrapialcuramchedhuantraico,0.7081660666666666,0.1370790333333333,0.07708870000000002,0.01226886666666667,0.028260399999999998,0.007082866666666668,0.008285966666666665,0.003088516666666635,0.0008824333333333243,0.00044121666666666217,0.0,0.0,0.0025782333333333337,0.0147777,465.8337631515329,90.17099936376657,50.70917812609997,8.070497299933328,18.58977590119998,4.659130941933331,5.450533731233327,2.0316355288833106,0.5804672939666602,0.2902336469833301,0.0,0.0,1.6959696213666655,9.720815393099992,0.9954350041204287,0.8141440358984146,12251.726004328544,13578.339178277713
entrelomas,Otros,Otros,54.989157268608594,1.0,54.989157268608594,,entrelomas,0.8371291774281999,0.09450427150726318,0.03968374800682068,0.007354762434959412,0.01014241534471512,0.0017210679699977238,0.0010587518935402235,0.0006131435198088487,0.00026270153000950813,8.240123648041239e-05,0.0,0.0,0.003786024212837219,0.003661534915367762,46.033027991740234,5.196710248468181,2.1821758601548953,0.4044321882092378,0.5577228724740887,0.09464007727216978,0.05821987438232049,0.033716245438997004,0.014445735748396943,0.004531174551949204,0.0,0.0,0.20819028086246588,0.20134471930565934,0.996916569266359,0.6785837813576644,10604.375953303768,12873.106982399171
estacionfernandezoro,NEUBA I,NEUI,689.881935483871,1.0,689.881935483871,,estacionfernandezoro,0.8736572989633693,0.07879965585789868,0.024314996412684954,0.002843869769924164,0.004804360803205218,0.0007687191599795013,0.0006956148566481173,0.0003008021846586454,8.594348133104154e-05,4.297174066552077e-05,0.0,0.0,0.01304462441965215,0.0006411423499829033,602.7203883584601,54.36245909871009,16.774476786466476,1.961934381139353,3.3144417296780606,0.5303254619301938,0.47989212365573863,0.20751799335008303,0.059290855242880865,0.029645427621440432,0.0,0.0,8.999250742289792,0.4423125253268827,0.9973570262477007,0.6383383278294681,9977.24024475962,12487.772235731054
estanciaaguafresca,Otros,0,0.0,0.0,0.0,,estanciaaguafresca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fortindepiedra,Fortin De Piedra,NEUII,12677.494838709677,0.0,0.0,Planta,fortindepiedraplanta,0.83917,0.10549,0.03375,0.0067,0.00691,0.0013,0.00075,0.00042,8e-05,3e-05,0.0,0.0,0.00262,0.00278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970029260353526,0.6684980444480417,10502.613648885153,12845.390730699242
fortindepiedra,Fortin De Piedra,MEGA,12677.494838709677,0.1641157379337146,2080.5764206056965,Otra,fortindepiedraotra,0.826056262678638,0.08972229916664214,0.03874514871955674,0.013948078133030731,0.014047882838799132,0.003942911678044568,0.002599316470189401,0.0021726586797586106,0.0011777629840513176,0.0013460985364436198,0.0,0.0,0.0027878739455209313,0.003439076786257258,1718.6731822228396,186.67410004864576,80.61224283877075,29.020042476349666,29.227693793836888,8.203529065870368,5.408076557568097,4.520382419130068,2.4504258936793746,2.800660874736433,0.0,0.0,5.80038479467182,7.155262070139268,0.9965826422673962,0.7083105817548803,11033.70922709082,13110.210648205031
fortindepiedra,Fortin De Piedra,VMS,12677.494838709677,0.0,0.0,Otra,fortindepiedraotra,0.826056262678638,0.08972229916664214,0.03874514871955674,0.013948078133030731,0.014047882838799132,0.003942911678044568,0.002599316470189401,0.0021726586797586106,0.0011777629840513176,0.0013460985364436198,0.0,0.0,0.0027878739455209313,0.003439076786257258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965826422673962,0.7083105817548803,11033.70922709082,13110.210648205031
fortindepiedra,Fortin De Piedra,YPF - RDM,12677.494838709677,0.06793752138489807,861.2775767117737,Otra,fortindepiedraotra,0.826056262678638,0.08972229916664214,0.03874514871955674,0.013948078133030731,0.014047882838799132,0.003942911678044568,0.002599316470189401,0.0021726586797586106,0.0011777629840513176,0.0013460985364436198,0.0,0.0,0.0027878739455209313,0.003439076786257258,711.4637361474416,77.27580440325433,33.37032779851711,12.01316693420319,12.099126489331828,3.3959414152547787,2.2387329905517284,1.8712622027242976,1.0143808488445463,1.159364485483426,0.0,0.0,2.401133315976159,2.961999720593366,0.9965826422673962,0.7083105817548803,11033.70922709082,13110.210648205031
fortindepiedra,Fortin De Piedra,CO (Paralelo),12677.494838709677,0.2557647863902045,3242.456759385501,Planta,fortindepiedraplanta,0.83917,0.10549,0.03375,0.0067,0.00691,0.0013,0.00075,0.00042,8e-05,3e-05,0.0,0.0,0.00262,0.00278,2720.9724387735305,342.04676354757646,109.43291562926066,21.724460287882856,22.40537620735381,4.215193787201151,2.4318425695391257,1.3618318389419104,0.25939654075084007,0.09727370278156502,0.0,0.0,8.495236709590012,9.014029791091692,0.9970029260353526,0.6684980444480417,10502.613648885153,12845.390730699242
laamargachica,Hub Centro (resto),YPF - RDM,1122.7967741935483,1.0,1122.7967741935483,,laamargachica,0.7518323333333333,0.13297466666666663,0.071394,0.007239,0.01787533333333333,0.002461000000000001,0.002651,0.0005030666666666666,0.00014373333333333332,7.186666666666666e-05,0.0,0.0,0.009604000000000001,0.0032499999999999994,844.1549186010752,149.30352678279564,80.16095289677419,8.127925848387097,20.07036660430107,2.7632028612903237,2.9765342483870967,0.5648416305376343,0.16138332301075267,0.08069166150537634,0.0,0.0,10.783340219354839,3.6490895161290315,0.9962339510884118,0.745584504375694,11458.96718706134,13270.798013856545
