Area,Inyección,Gasoducto,Volumen,Coef_Inyeccion,Volumen_inyectado,Sufijo,Clave_croma,C1,C2,C3,iC4,nC4,iC5,nC5,nC6,nC7,nC8,nC9,nC10,N2,CO2,Vol_C1,Vol_C2,Vol_C3,Vol_iC4,Vol_nC4,Vol_iC5,Vol_nC5,Vol_nC6,Vol_nC7,Vol_nC8,Vol_nC9,Vol_nC10,Vol_N2,Vol_CO2,z,densidad,PCS,IW
pampaembm,Secundaria,CO (Paralelo),-232.66666666666666,0.19412675282869477,-45.16682449147631,,pampaembm,0.8689686677723799,0.07338931515424678,0.03604451421927337,0.0034280360913772,0.005655809214712914,0.002028532111984442,0.0011283834633485442,0.0007433292459177134,0.00021237978454791815,7.005120143693958e-05,0.0,0.0,0.0032142380586493544,0.0051167436821249,-39.24855530586707,-3.3147623171215073,-1.6280162476224427,-0.15483350448968045,-0.25545494215821263,-0.09162235387732506,-0.05096549784814789,-0.0335738215897468,-0.009592520454213372,-0.0031639903207193033,-0.0,-0.0,-0.14517692626883894,-0.23110706385840563,0.9971640346607,0.654400717455083,10244.080586849832,12663.422675755182
tty,Terciaria,CO (Paralelo),5500.0,0.22360921100812445,1229.8506605446844,,tty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mega,Terciaria,CO (Paralelo),17500.0,0.6188357687082323,10829.625952394066,,mega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
coparalelo,Cuaternaria,CO (Paralelo),26917.333333333332,1.0,26917.333333333332,,coparalelo,0.8390347509129784,0.09468460404980632,0.03973083169604013,0.007366708611885838,0.010145577496368617,0.0009209369562110845,0.0004744057997963307,0.00011820229391103138,1.9247100033782497e-05,1.285092223880668e-06,0.0,0.0,0.003788062914405416,0.0037153870763389405,22584.57806857494,2548.6570487433196,1069.4480403728774,198.29215127566837,273.09189132891953,24.789167029319163,12.769739048384432,3.1816905459678684,0.5180806073093347,0.034591255754270564,0.0,0.0,101.96455215468872,100.00831239617403,0.9969686882887364,0.6738793424053544,10538.239689248301,12837.397841560516
neui,Cuaternaria,NEUI,2387.9658610018278,1.0,2387.9658610018278,,neui,0.8371349782012699,0.09450177756813617,0.03968130740389288,0.007354046091944961,0.010141567645963339,0.0017209167342073749,0.0010586942263113661,0.0006130939190867359,0.0002626734603118183,8.239497496057858e-05,0.0,0.0,0.00378749450576464,0.003661055268150288,1999.0497489951417,225.66701863669752,94.75760740041527,17.561211007798473,24.217717315601124,4.109490410913968,2.5281256696712853,1.464047348366942,0.6272552558158406,0.19675638732396206,0.0,0.0,9.044407578497951,8.74247499558378,0.9969166419057927,0.678577385604637,10604.276289663923,12873.04666176268
pampasch,Secundaria,NEUII,1797.9977753058954,0.3694999616762977,664.3601090695968,,pampasch,0.9133566065255344,0.053151658361513296,0.010461448903549001,0.0022400690999213866,0.001800448383888972,0.0005334827906296571,0.00034706898634138055,0.0004071262313241255,0.0002460207044164147,0.0,0.0,0.0,0.002836793273655873,0.014619276739225572,606.7976947307408,35.31184154628492,6.950169334587828,1.488212551547206,1.1961460846946566,0.3544246849694718,0.230578789620434,0.2704784274475899,0.16344634201946828,0.0,0.0,0.0,1.8846522886939143,9.71246428899052,0.9975838408179317,0.6157834697552681,9500.043412167795,12106.30404018008
pampaembm,Secundaria,NEUII,-465.3333333333333,0.420607964462172,-195.72290612973072,,pampaembm,0.8689686677723799,0.07338931515424678,0.03604451421927337,0.0034280360913772,0.005655809214712914,0.002028532111984442,0.0011283834633485442,0.0007433292459177134,0.00021237978454791815,7.005120143693958e-05,0.0,0.0,0.0032142380586493544,0.0051167436821249,-170.07707299209068,-14.363970040859867,-7.054737073030586,-0.6709451861219486,-1.1069714160189217,-0.39703020013507534,-0.22085049067530754,-0.14548656022223613,-0.041567588634924615,-0.013710624723116982,-0.0,-0.0,-0.6291000138316355,-1.0014639433864245,0.9971640346607,0.654400717455083,10244.080586849832,12663.422675755182
totalapeasr,Secundaria,NEUII,3500.531848870411,0.15,525.0797773305617,,totalapeasr,0.8471228666485022,0.08727450136890949,0.03170048910270905,0.00636920752263158,0.006623661614575679,0.0014596254832154392,0.0010404562114689577,0.0011318941332600562,0.00039037276009400086,0.00013260041175591555,0.0,0.0,0.004391507394390486,0.012362817348487331,444.8070861914226,45.8260757454228,16.645285759320362,3.3443420677555284,3.477950765694386,0.7664198237127763,0.5463225158403201,0.5943347194539594,0.20497684194607474,0.06962579467873693,0.0,0.0,2.3058917247920716,6.491465380522133,0.9970543936368628,0.6705968425955278,10288.935414955044,12564.340253375645
tty,Terciaria,NEUII,11000.0,0.4472184220162489,4919.402642178738,,tty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mega,Terciaria,NEUII,-28669.639315781682,0.3811642312917677,-10927.841031212165,,mega,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
